ak_id,ezb_id,ezb_display
AK00005031,EZB64705,German Quarterly (-1995)
AK00005031,EZB104493,"German Quarterly, The (2005 -)"
AK00005031,EZB31366,"German Quarterly, The"
AK00005933,EZB64706,"Germanic Review : Literature, Culture, Theory"
AK00005933,EZB90889,"Germanic Review, The : Literature, Culture, Theory (1940-)"
AK00018272,EZB499591,Germanica Wratislaviensia
AK00022401,EZB499591,Germanica Wratislaviensia
AK00036178,EZB115794,Germanistik
AK00148527,EZB115794,Germanistik
AK00005479,EZB58343,Germanoslavica : Zeitschrift für germano-slawische Studien
AK00003037,EZB65548,Goethe
AK00003375,EZB64206,Goethe-Jahrbuch
AK00003041,EZB41039,Gutenberg-Jahrbuch
AK00165517,EZB171454,Hegel-Jahrbuch (1999-2018)
AK00008933,EZB235776,Heidegger Studies = Heidegger Studien = Etudes Heideggeriennes
AK00005976,EZB125499,Herder-Blätter
AK00237826,EZB109619,Hermann-Hesse-Jahrbuch
AK00005649,EZB125504,"Hohe Ufer, Das"
AK00047344,EZB172111,Information - Wissenschaft und Praxis (IWP) (2012 -)
AK00047347,EZB172111,Information - Wissenschaft und Praxis (IWP) (2012 -)
AK00004544,EZB101316,Internationales Archiv für Sozialgeschichte der deutschen Literatur (IASL)
AK00690177,EZB37765,Internationales Jahrbuch des Deutschen Idealismus = International Yearbook of German Idealism
AK01544444,EZB206595,Internationales Jahrbuch für Philosophische Anthropologie
AK01339432,EZB64733,Isegoría : Revista de Filosofía Moral y Política
AK00003136,EZB223657,Jahrbuch der Deutschen Schillergesellschaft
AK00022941,EZB65546,Jahrbuch der Goethe-Gesellschaft
AK00003116,EZB109620,Jahrbuch der Jean-Paul-Gesellschaft
AK00003131,EZB109621,Jahrbuch der Raabe-Gesellschaft
AK00999115,EZB109621,Jahrbuch der Raabe-Gesellschaft
AK00008687,EZB128840,"Jahrbuch der Zeitschrift Das Neue Pathos, Das"
AK01237187,EZB151153,Jahrbuch für germanistische Sprachgeschichte
AK00009000,EZB125506,Jedermann Sein Eigner Fußball
AK01604411,EZB51970,Jelenkor = Presence
AK00003192,EZB486901,Journal of English and Germanic Philology (JEGP) (2006-)
AK00003192,EZB84944,Journal of English and Germanic Philology (JEGP)
AK00005900,EZB195315,"Journal of Language, Literature and Culture"
AK01342336,EZB195315,"Journal of Language, Literature and Culture"
AK00004281,EZB10100,Journal of Literary Semantics (JLS)
AK00418393,EZB98026,Journal of Literary Theory (2007-2021)
AK00418393,EZB488769,Journal of Literary Theory (2022-)
AK01522688,EZB7320,Journal of Modern Literature (JML)
AK01522688,EZB64774,Journal of Modern Literature
AK00003182,EZB7717,Journal of the History of Ideas
AK01458596,EZB7717,Journal of the History of Ideas
AK00003182,EZB186,Journal of the History of Ideas (JHI) (1996-)
AK01458596,EZB186,Journal of the History of Ideas (JHI) (1996-)
AK00022338,EZB125507,"Junge Deutschland, Das"
AK00009021,EZB125509,Kain
AK00003187,EZB10077,Kant-Studien
AK00003187,EZB64791,Kant-Studien
AK01465957,EZB38038,Kierkegaard Studies Yearbook (KSYB)
AK00008992,EZB129335,"Komet, Der"
AK00020573,EZB125579,"Kothurn : Halbmonatsschrift für Literatur, Theater und Kunst"
AK00007959,EZB125580,"Kräfte : Zeitschrift für Dichtung, Musik, bildende Kunst"
AK00177068,EZB467349,Kronstädter Beiträge zur germanistischen Forschung
AK00009222,EZB125570,"Kugel, Die"
AK00095704,EZB168741,KulturPoetik
