id	display	issn
AK00005385	Kunstjahrbuch	0342-0728
AK00005387	Der Kunstwart : Monatshefte für Kunst, Literatur und Leben	0932-2043
AK00005387	Der Kunstwart : Monatshefte für Kunst, Literatur und Leben	0932-2108
AK00005388	Kunstwart und Kulturwart	0932-2094
AK00005388	Kunstwart und Kulturwart	0932-2051
AK00005389	Deutscher Wille : des Kunstwarts ... Jahr	0932-2078
AK00005391	Plattdütsch Land un Waterkant : Blatt for plattdüütsche Literatuur vondaag	0931-3931
AK00005395	Liberal : Debatten zur Freiheit ; das Magazin der Friedrich-Naumann-Stiftung für die Freiheit	0459-1992
AK00005396	The Library chronicle of the Friends of the Library of Pennsylvania	0024-2233
AK00005396	The Library chronicle of the Friends of the Library of Pennsylvania	0736-6329
AK00005404	Bulletin de la Faculté des Lettres de Strasbourg	0151-1971
AK00005408	Cahiers d'art : peinture, sculpture, architecture, musique	0995-8274
AK00005411	Cahiers staëliens : Madame de Staël et le Groupe de Coppet	0575-1276
AK00005413	Cahiers du Sud	0184-752X
AK00005415	[Castrum peregrini] Castrvm peregrini : Zeitschrift für Literatur, Kunst- und Geistesgeschichte	0008-7556
AK00005435	Le nouveau commerce	0550-1326
AK00005436	Comparative literature studies : CLS	0010-4132
AK00005440	Neue Literatur : Zeitschrift für Querverbindungen	1220-6385
AK00005444	Literatur in Wissenschaft und Unterricht : LWU	0024-4643
AK00005447	Comparative literature : CL ; the official journal of the American Comparative Literature Association	0010-4124
AK00005449	German studies : German-language research contributions ; a current survey in English language. - Section 3, Literature, music, fine arts : a review of German-language research contributions on literature, music and fine arts; with bibliographies	0024-4775
AK00005451	Logos : Zeitschrift für systematische Philosophie	0941-9683
AK00005455	Etudes littéraires	0014-214X
AK00005456	Europa : eine Zeitschrift	0937-2660
AK00005461	Der katholische Gedanke : eine Vierteljahresschrift	0022-9385
AK00005463	Das Gedicht : Blätter für die Dichtung	1435-8662
AK00005464	Das Gedicht : Jahrbuch zeitgenössischer Lyrik	0433-2369
AK00005476	Germanien : Monatsh. für Vorgeschichte zur Erkenntnis dt. Wesens	0179-700X
AK00005479	Germanoslavica : Zeitschrift für germano-slawische Studien	1210-9029
AK00005480	Ludwigsburger Geschichtsblätter	0179-1842
AK00005485	La Grive : Ardenne-Champagne-Wallonie	1141-7226
AK00005505	Le courrier du Centre International d'Etudes Poétiques	0771-6443
AK00005506	La nouvelle critique : NC ; politique, marxisme, culture	0029-4721
AK00005515	[Die Waage <Aachen>] Die Waage	0017-4874
AK00005520	Südostdeutsche Vierteljahresblätter : Zeitschrift für Literatur und Kunst, Geschichte und Zeitgeschichte	0562-5297
AK00005522	Commentary	0010-2601
AK00005524	Fridericiana : Zeitschrift der KIT-Fördergesellschaft e.V.	0533-0912
AK00005545	Jahrbuch der bildenden Kunst	0932-2337
AK00005552	Jahrbuch	0174-9056
AK00005556	[Preußische Jahrbücher <Berlin>] Preußische Jahrbücher	0934-0688
AK00005571	Jahrbuch des Österreichischen Volksliedwerkes	1013-056X
AK00005577	Würzburger Jahrbücher für die Altertumswissenschaft	0342-5932
AK00005586	L' illustration : journal universel	0246-9251
AK00005587	[Imago <Leipzig>] Imago : Zeitschrift für Anwendung der Psychoanalyse auf die Geisteswissenschaften	0536-5554
AK00005598	James Joyce quarterly : JJQ	0021-4183
AK00005606	Sic	1153-6322
AK00005622	Jahrbuch des Oberösterreichischen Musealvereines	0379-0819
AK00005630	Zeitschrift für Ästhetik und allgemeine Kunstwissenschaft	0044-2186
AK00005630	Zeitschrift für Ästhetik und allgemeine Kunstwissenschaft	2195-6839
AK00005631	[Jahrbuch der Schlesischen Friedrich-Wilhelms-Universität zu Breslau / Beihefte] Beihefte zum Jahrbuch der Schlesischen Friedrich-Wilhelms-Universität zu Breslau	0341-9223
AK00005633	Deutsch als Fremdsprache : Zeitschrift zur Theorie und Praxis des Deutschunterrichts für Ausländer. - Sonderheft	0323-3766
AK00005635	Jahrbuch der Sammlung Kippenberg	0448-133X
AK00005640	Jahresbericht	0466-5716
AK00005641	[La Table ronde / Cahiers] La Table ronde : revue mensuelle	1141-4405
AK00005644	[Deutschunterricht <Braunschweig>] Deutschunterricht : Zeitschrift für den Deutschunterricht in Sek. I und Sek. II	0012-1460
AK00005659	Der Weg	0176-3962
AK00005670	[Bibliothek aktuell / Sonderheft] Bibliothek aktuell  : Informationsbl. für alle Mitarbeiter d. Bibliothek d. Universität Konstanz	0342-9636
AK00005677	AQ : Situationen zeitgenössischer Kunst & Literatur	0173-0851
AK00005678	Praxis Deutsch : Zeitschrift für den Deutschunterricht	0341-5279
AK00005692	Modern Austrian literature : a journal devoted to Austrian literature and culture	0026-7503
AK00005692	Modern Austrian literature : a journal devoted to Austrian literature and culture	0544-6465
AK00005700	[Der Querschnitt <Berlin>] Der Querschnitt	0176-9308
AK00005702	Die Sichel	0176-8921
AK00005707	Black Orpheus : a journal of the arts in Africa	0067-9100
AK00005708	Dada surrealism : official publication of the Association for the Study of Dada and Surrealism	0084-9537
AK00005710	Brecht-Jahrbuch	0734-8665
AK00005736	Musil-Forum : Studien zur Literatur der klassischen Moderne	1016-1333
AK00005749	Deutsch-ungarische Heimatblätter : Vierteljahrschr. für Kunde d. Deutschtums in Ungarn und für dt. u. ungarische Beziehungen	0200-8432
AK00005754	Emuna, Israel-Forum : vereinigte Zeitschriften über Israel und Judentum	0174-2329
AK00005758	Studies in twentieth century literature : STCL	0145-7888
AK00005759	Versuche : saarländ. Zeitschr. für Literatur u. Graphik	0170-2483
AK00005761	Meanjin	0025-6293
AK00005764	Zeitschrift für Individualpsychologie	0342-393X
AK00005765	Fliegenpilz : Zeitschr. für Politik u. Literatur	0342-4723
AK00005772	Cahiers Gérard de Nerval : cahiers de la Société Gérard de Nerval	0222-1578
AK00005773	Symbol : Kunst im Rheinland	0172-3456
AK00005777	Die Neue literarische Pfalz	0722-1142
AK00005779	Tableau : Zeitschrift für Selberschreiber	0722-317X
AK00005782	Il confronto letterario : quaderni di letterature straniere moderne e comparate dell'Università di Pavia	0394-994X
AK00005783	[Der Wunderblock / Sondernummer] Der Wunderblock : Zeitschr. für Psychoanalyse	0170-7515
AK00005785	La Nouvelle revue de Paris : NRP	0258-9230
AK00005794	Letzebuerger Almanach	0257-4365
AK00005795	Tijdschrift voor de studie van de verlichting en van het vrije denken	0774-1847
AK00005804	Beiträge zur deutschen Kultur	0178-9058
AK00005808	Cross currents : a yearbook of Central European culture	0748-0164
AK00005809	Celan-Jahrbuch	0933-4106
AK00005812	Mitteilungen für die Archivpflege in Bayern. - Sonderheft	0540-4754
AK00005814	L' architecture d'aujourd'hui : AA ; première revue internationale d'architecture moderne	0003-8695
AK00005817	Der Druckspiegel : das Entscheidermagazin für Druck + Medien ; offizielles Organ der Lehrerarbeitsgemeinschaft Medien e.V.(LAG) und des VDD - Verein Deutscher Druckingenieure e.V.	0012-6500
AK00005818	Das Neue Erlangen : Zeitschrift für Wissenschaft, Wirtschaft und kulturelles Leben	0028-3169
AK00005819	Ciba-Symposium	0374-0625
AK00005826	Abhandlungen der Akademie der Wissenschaften in Göttingen, Philologisch-Historische Klasse	0930-4304
AK00005831	Bibliothek : Forschung und Praxis	0341-4183
AK00005841	[Allgemeine Zeitung <München>] Allgemeine Zeitung	0340-1375
AK00005849	Häuser : Magazin für internat. Wohnen	0724-6528
AK00005852	[Wissenschaftliche Zeitschrift der Humboldt-Universität zu Berlin / Gesellschaftswissenschaftliche Reihe] Wissenschaftliche Zeitschrift der Humboldt-Universität zu Berlin	0522-9855
AK00005891	Accent : a quarterly of new literature	1050-6276
AK00005894	Die Antike : Zeitschrift für Kunst und Kultur des klassischen Altertums	0174-8246
AK00005895	Apollo : a magazine of the arts	0003-6536
AK00005897	Archiv für Geschichte des Buchwesens : AGB	0066-6327
AK00005898	Aufbau : kulturpolit. Monatsschr.	0863-0348
AK00005899	Atlantic monthly : a magazine of literature, art and politics	0160-6514
AK00005899	Atlantic monthly : a magazine of literature, art and politics	0276-9077
AK00005899	Atlantic monthly : a magazine of literature, art and politics	0004-6795
AK00005899	Atlantic monthly : a magazine of literature, art and politics	1072-7825
AK00005900	Journal of the Australasian Universities Language and Literature Association : a journal of literary, language and cultural studies	0001-2793
AK00005902	Le bateau ivre : Bulletin de la Société des Amis de Rimbaud	1141-7218
AK00005916	Books abroad : an international literary quarterly	0006-7431
AK00005920	Jahresarbeitsbericht	0342-5037
AK00005922	Dialog : miesięcznik poświęcony dramaturgii współczesnej teatralnej, filmowej, radiowej, telewizyjnej	0012-2041
AK00005925	Dissent : a journal devoted to radical ideas and the values of socialism and democracy	0012-3846
AK00005926	Chicago review	0009-3696
AK00005928	Decision : a review of free culture	0011-7307
AK00005932	Quarterly review of literature : QRL	0033-5819
AK00005933	The Germanic review : literature, culture, theory	0016-8890
AK00005934	The literary review : an internat. journal of contemporary writing	0024-4589
AK00005935	La revue blanche	1153-4044
AK00005936	Time	0040-781X
AK00005937	The Tamarack review	0039-9256
AK00005939	Le Navire d'argent : revue mensuelle de littérature et de culture générale	1155-8369
AK00005950	Journal of the Gypsy Lore Society	0017-6087
AK00005951	The Western review : a literary quarterly	0275-8202
AK00005955	View	1050-6764
AK00005960	[Criticón <Bonn>] Criticón : konservative Zeitschrift	0011-1597
AK00005961	Drehpunkt : die Schweizer Literaturzeitschrift	0012-6055
AK00005962	The Paris review	0031-2037
AK00005966	Prism international : a journal of contemporary writing	0032-8790
AK00005971	Saturday review of literature	0147-5932
AK00005986	Osnabrücker Beiträge zur Sprachtheorie : OBST	0936-0271
AK00005988	[Hochschul-Dienst / A] Hochschul-Dienst : Informationen aus d. wissenschaftl. Leben	0174-9587
AK00005998	Bündner Jahrbuch ... : Zeitschrift für Kunst, Kultur und Geschichte Graubündens	0524-9287
AK00006000	Orte : eine Schweizer Literaturzeitschrift	1016-7803
AK00006006	Wespennest : Zeitschrift für brauchbare Texte	1012-7313
AK00006016	I 10 : internationale revue	0920-0509
AK00006019	Sammlung : Jahrbuch für antifaschistische Literatur und Kunst	0935-2430
AK00006024	L 80 : Demokratie u. Sozialismus ; polit. u. literar. Beitr	0173-3826
AK00006026	Komparatistische Hefte	0172-9209
AK00006028	Schreibheft : Zeitschrift für Literatur und kulturelle Initiativen	0172-343X
AK00006028	Schreibheft : Zeitschrift für Literatur und kulturelle Initiativen	0174-2132
AK00006029	Jahresbericht	0174-3287
AK00006032	Jahrbuch zur Literatur in der DDR	0174-4720
AK00006033	Lichtungen : Zeitschrift für Literatur, Kunst und Zeitkritik	1012-4705
AK00006034	Tintenfaß : das Magazin für den überforderten Intellektuellen	1015-0528
AK00006037	Kodikas, Code - Ars semeiotica : an international journal of semiotics	0171-0834
AK00006040	Dilthey-Jahrbuch für Philosophie und Geschichte der Geisteswissenschaften	0175-0135
AK00006041	SPIEL : eine Zeitschrift zur Medienkultur	0722-7833
AK00006042	Arbitrium : Zeitschrift für Rezensionen zur germanistischen Literaturwissenschaft	0723-2977
AK00006042	Arbitrium : Zeitschrift für Rezensionen zur germanistischen Literaturwissenschaft	0722-2977
AK00006043	[Kultus und Unterricht / A] Kultus und Unterricht : Amtsblatt des Ministeriums für Kultus, Jugend und Sport Baden-Württemberg	0933-7776
AK00006043	[Kultus und Unterricht / A] Kultus und Unterricht : Amtsblatt des Ministeriums für Kultus, Jugend und Sport Baden-Württemberg	0451-0550
AK00006045	Chloe : Beihefte zum Daphnis	0168-9878
AK00006058	Jahrbuch der Bundesrepublik Deutschland	0931-4938
AK00006060	Studia Spinozana : an international and interdisciplinary series	0179-3896
AK00006061	Cultural critique	0882-4371
AK00006065	Wandler : Zeitschrift für Literatur	0945-4225
AK00006066	Restauro : Zeitschrift für Konservierung und Restaurierung	0933-4017
AK00006069	Acta historica Leopoldina	0001-5857
AK00006071	Antares : Kunst, Literatur und Wissenschaft aus Frankreich	0517-9823
AK00006076	Cahiers internationaux de symbolisme	0008-0284
AK00006077	Central Europe journal : incorporating German news	0008-9362
AK00006082	Beiträge zur Landeskunde	0408-8492
AK00006096	Literaturnaja Armenija : ežemesjačnyi literaturno-chudozestvennyj i obščestvenno-političeskij žurnal ; organ Sojuza Pisatelej Armenii	0130-3597
AK00006096	Literaturnaja Armenija : ežemesjačnyi literaturno-chudozestvennyj i obščestvenno-političeskij žurnal ; organ Sojuza Pisatelej Armenii	0130-8114
AK00006097	Die Furche : die österreichische Wochenzeitung	0016-299X
AK00006110	Pietismus und Neuzeit : PuN ; Jahrbuch ... zur Geschichte des neueren Protestantismus	0172-6943
AK00006123	Beiträge zur Droste-Forschung	0172-7427
AK00006136	Brünner Beiträge zur Germanistik und Nordistik	1803-7380
AK00006136	Brünner Beiträge zur Germanistik und Nordistik	1211-4979
AK00006140	Jahrbuch	0072-4858
AK00006142	Begegnung : Zeitschrift für Katholiken in Kirche und Gesellschaft	0005-7800
AK00006145	Argenis : internat. Zeitschr. für mittlere dt. Literatur ; e. Veröff. d. American Society for German Literature of the 16. & 17. Centuries	0148-4680
AK00006146	Stanford French review	0163-657X
AK00006147	Wissenschaft und Zärtlichkeit	0170-9623
AK00006162	Profil : Zeitschrift für Politik, Wirtschaft und Kultur	0173-427X
AK00006167	Jenaer Reden und Schriften	0232-5969
AK00006174	Deutsche Studentenzeitung : DSZ ; unabhängige Zeitung d. Deutschen Studentenschaft	0415-6269
AK00006177	Das Gedicht	0173-6477
AK00006178	Tübinger Bibliotheksinformationen : Mitteilungsbl. für das Bibliothekssystem der Universität Tübingen	0933-0623
AK00006181	Themen der praktischen Theologie - Theologia practica	0720-9525
AK00006239	Stand : a quarterly review of literature and the arts	0038-9366
AK00006241	Shenandoah : the Washington and Lee University review	0037-3583
AK00006244	Horizon : a review of literature and art	0262-1223
AK00006245	Agenda	0002-0796
AK00006246	The New Yorker	0028-792X
AK00006247	Synthesis : bulletin du Comité National Roumain de Littérature Comparée et de l'Institut d'Histoire et de Théorie Littéraire G. Călinescu de l'Académie Roumaine	0256-7245
AK00006248	Het Overzicht : half-maandeliks tijdschrift ; kunst, letteren, mensheid	0378-5718
AK00006267	Kleine Schriften der Gesellschaft für Theatergeschichte	0176-8905
AK00006268	The nation : a weekly journal devoted to politics, literature, science, drama, music, art, industry	0027-8378
AK00006269	Neue deutsche Presse : Zeitschr. für Presse, Funk und Fernsehen der DDR	0323-4339
AK00006270	Le Surréalisme au service de la révolution	0398-3544
AK00006271	Cahiers laïques	0526-8354
AK00006273	Revue neuchâteloise	0035-3779
AK00006277	[Revista da Faculdade de Letras do Porto / Línguas e literaturas] Revista da Faculdade de Letras do Porto	0871-1682
AK00006281	Der Alltag	1013-8021
AK00006307	Trio : Dreiländer-Magazin	0720-0978
AK00006358	Jahrbuch zur Medienstatistik und Kommunikationspolitik. - Teil 1	0175-7083
AK00006364	Deutsche Literatur : ein Jahresüberblick	0722-8503
AK00006372	Der Rabe : Magazin für jede Art von Literatur	1015-471X
AK00006377	Skarabaeus : zwischen d. Wissenschaften	0177-7289
AK00006421	Revue de philosophie ancienne	0771-5420
AK00006427	Etudes phénoménologiques	0773-7912
AK00006436	Einspruch : Zeitschrift der Autoren	1015-5422
AK00006444	Babylon : Beiträge zur jüdischen Gegenwart	0931-6418
AK00006445	Zeitmitschrift : Journal für Ästhetik	0931-3141
AK00006448	Feministische Studien : Zeitschrift für interdisziplinäre Frauen- und Geschlechterforschung	0723-5186
AK00006451	Kommune : Forum für Politik, Ökonomie, Kultur	0723-7669
AK00006470	Kaspar Hauser : d. Kind Europas ; Halbjahresschr. für menschengemäße Kultur	0254-3141
AK00006476	Doppelpunkt : Zeitschr. für Literatur u. Graphik	0724-5858
AK00006484	Ketzerbriefe : Flaschenpost für unangepaßte Gedanken / Hrsg.: Bund gegen Anpassung	0930-0503
AK00006492	Sagittarius : d. fantastische Magazin	0930-8865
AK00006493	Friedrich-Wilhelm-Weber-Jahrbuch	0935-3798
AK00006494	Phöbus : Jugendkulturzeitschrift	0933-369X
AK00006500	Zeitschrift für die gesamte Naturwissenschaft : Organ der Reichsfachgruppe Naturwissenschaft der Reichsstudentenführung	0372-8870
AK00006511	Die Pforte : Monatsschrift für Kultur	0031-6784
AK00006513	Die Umschau : internationale Revue	0372-4409
AK00006524	Der Anschnitt : Zeitschrift für Kunst und Kultur im Bergbau	0003-5238
AK00006525	Acta neophilologica	0567-784X
AK00006529	Islas : revista de la Universidad Central de Las Villas, Sta Clara, Cuba	0047-1542
AK00006530	Jadavpur journal of comparative literature : JJCL	0448-1143
AK00006530	Jadavpur journal of comparative literature : JJCL	0970-0692
AK00006533	Il Cristallo : rassegna di varia umanità	0011-1449
AK00006561	Illustrierter Beobachter : IB	0930-4266
AK00006567	Lunder germanistische Forschungen : LgF	0348-2146
AK00006573	The tatler	0265-6639
AK00006574	Deutschland im Kampf	0933-6427
AK00006578	Jahrbuch für Lyrik	0173-6523
AK00006582	Doitsu-bungaku	0387-2831
AK00006593	Der Maikäfer : Zeitschr. für Nichtphilister	0176-7631
AK00006593	Der Maikäfer : Zeitschr. für Nichtphilister	0524-0352
AK00006594	Sprache und Literatur in Wissenschaft und Unterricht : (SuL)	0724-9713
AK00006598	Vorträge. - G, Geisteswissenschaften	0944-8810
AK00006598	Vorträge. - G, Geisteswissenschaften	0172-2093
AK00006600	Jahresfeier	0172-3464
AK00006603	New American review	0028-4211
AK00006612	La Révolution surréaliste	0398-3501
AK00006613	Le rire : journal humoristique	1154-7499
AK00006616	Dimension : contemporary German arts and letters	0012-2882
AK00006617	The Malahat review : an international quarterly of life and letters	0025-1216
AK00006621	Nagyvilág : világirodalmi folyóirat	0547-1613
AK00006621	Nagyvilág : világirodalmi folyóirat	0547-1713
AK00006624	Bonniers litterära magasin : BLM	0005-3198
AK00006625	Prace naukowe Uniwersytetu Śląskiego w Katowicach	0370-0941
AK00006625	Prace naukowe Uniwersytetu Śląskiego w Katowicach	0208-6336
AK00006627	Parnasso : kirjallisunden katselmus	0031-2320
AK00006628	Pergal˙e : literaturos, meno ir kritikos žurnales	0134-3211
AK00006630	Point de vue : images du monde	0750-0475
AK00006630	Point de vue : images du monde	1154-7685
AK00006631	Contemporary Jewish record : review of events and a digest of opinion	0363-6909
AK00006635	Comparative criticism : an annual journal	0144-7564
AK00006641	Eco : revista de la cultura de Occidente ; órgano del Instituto Cultural Colombo-Alemán	0012-9410
AK00006642	La Revue européenne	1147-6818
AK00006644	Commune : revue littéraire française pour la défense de la culture	1147-6796
AK00006652	German studies review	0149-7952
AK00006653	Quinquereme : new studies in modern languages	0140-3397
AK00006654	Revista de la Universidad Nacional de Córdoba	0370-7687
AK00006666	Traverses : revue trimestrielle	0336-9730
AK00006667	Boethius : Texte u. Abhandlungen zur Geschichte d. exakten Wissenschaften	0523-8226
AK00006679	Das Schönste : die Monatsschrift für alle Freunde der schönen Künste	0487-6601
AK00006680	Schöner wohnen : Europas grösstes Wohnmagazin	0941-5718
AK00006684	Die Kommenden : unabhängige Zeitschr. für freies Geistesleben	0023-3005
AK00006687	Die Heimat : Zeitschrift für Natur- und Landeskunde von Schleswig-Holstein und Hamburg	0017-9701
AK00006702	Nation Europa : Monatsschrift im Dienst d. europäischen Erneuerung	0027-8408
AK00006705	Filmkritik	0015-1572
AK00006713	Ostdeutscher Literatur-Anzeiger : [Bibliographie]	0030-6339
AK00006717	Deutsch-polnische Hefte	0418-8012
AK00006734	Zeitschrift für Geschichtswissenschaft : ZfG	0044-2828
AK00006735	Darmstädter Schriften	0415-0473
AK00006738	Hamburgische Geschichts- und Heimatblätter	0931-0185
AK00006741	Kieler Beiträge zur Anglistik und Amerikanistik	0453-8463
AK00006746	Westermanns Monatshefte : WM ; d. Kulturmagazin	0931-9360
AK00006746	Westermanns Monatshefte : WM ; d. Kulturmagazin	0043-3438
AK00006769	Jugendliteratur : Monatsh. für Jugendschrifttum	0448-0007
AK00006773	Lippische Mitteilungen aus Geschichte und Landeskunde	0342-0876
AK00006781	[Jugend <München>] Jugend : Münchner illustrierte Wochenschrift für Kunst und Leben	2195-4887
AK00006782	Israel-Forum : Zeitschrift für Kontakte mit Israel	0535-8035
AK00006801	Abendland : deutsche Monatshefte für europäische Kultur, Politik und Wirtschaft	0174-8300
AK00006815	Abhandlungen zur Kunst-, Musik- und Literaturwissenschaft	0567-4999
AK00006825	Quarthefte	0481-2212
AK00006836	[Die Aktion <Berlin, 1911 ->] Die Aktion : Zeitschrift für freiheitliche Politik und Literatur	0516-3408
AK00006836	[Die Aktion <Berlin, 1911 ->] Die Aktion : Zeitschrift für freiheitliche Politik und Literatur	0516-340X
AK00006836	[Die Aktion <Berlin, 1911 ->] Die Aktion : Zeitschrift für freiheitliche Politik und Literatur	0516-334X
AK00006837	Der Schweizer Buchhandel	0036-7338
AK00006855	Dokumente	0569-1400
AK00006858	Die BASF : aus d. Arbeit d. Badischen Anilin- & Soda-Fabrik	0521-9434
AK00006864	Blätter des Schwäbischen Albvereins	1438-373X
AK00006870	Bibliothek des Deutschen Historischen Instituts in Rom	0070-4156
AK00006890	Bibliographische Kalenderblätter der Berliner Stadtbibliothek	0323-5327
AK00006891	Augenblick : Zeitschrift für Tendenz und Experiment	0519-4342
AK00006913	Sprachpflege : Zeitschrift für gutes Deutsch in Schrift und Wort	0049-2019
AK00006922	[Veröffentlichungen des Südostdeutschen Kulturwerks / A] Veröffentlichungen des Südostdeutschen Kulturwerks	0081-9107
AK00006937	Tübinger Universitätsreden	0564-4283
AK00006946	Konstanzer Universitätsreden	0454-3335
AK00006950	Quellen und Forschungen zur Sprach- und Kulturgeschichte der germanischen Völker	0481-3596
AK00006955	[Euphorion <Heidelberg> / Beihefte] Beihefte zum Euphorion	0531-2167
AK00006960	Fontane-Blätter. - Sonderheft	0138-4929
AK00006962	Erträge der Forschung	0174-0695
AK00006967	Einzelveröffentlichungen der Historischen Kommission zu Berlin	0343-0529
AK00006970	Dichtung und Volkstum : Zeitschrift für Literaturgeschichte	0256-5900
AK00006971	Literatur und Leben	0459-5300
AK00006982	Bibliographische Mitteilungen	0409-1353
AK00006985	Beiträge zur politischen Wissenschaft	0582-0421
AK00006987	Anglistische Forschungen	0179-1389
AK00006992	Jahrbuch der Akademie der Wissenschaften zu Göttingen	0373-9767
AK00006994	Tübinger Beiträge zur Linguistik : TBL	0564-7959
AK00007038	[Hegel-Studien / Beiheft] Hegel-Studien	0440-5927
AK00007044	Schriftenreihe wissenschaftlicher Abhandlungen des Leo Baeck Instituts	0459-097X
AK00007047	[Wissenschaftliche Zeitschrift der Humboldt-Universität zu Berlin / Gesellschafts- und sprachwissenschaftliche Reihe] Wissenschaftliche Zeitschrift der Humboldt-Universität zu Berlin	0522-9855
AK00007054	Sowjetliteratur : Monatsschrift des Schriftstellerverbandes der UdSSR : [Übersetzung ins Deutsche]	0202-1889
AK00007056	Almanach für Literatur und Theologie	0569-0927
AK00007057	Freiburger Almanach : illustriertes Jahrbuch	0429-6486
AK00007062	Das Fenster : Tiroler Kulturzeitschrift	0015-0029
AK00007068	Hellenika : Jahrbuch für d. Freunde Griechenlands	0018-0084
AK00007069	Gegenwart : Zeitschrift für Kultur, Politik, Wirtschaft	0016-5867
AK00007070	Manuskripte <Graz> : Zeitschrift für Literatur	0025-2638
AK00007079	Spektrum des Geistes : Literaturkalender; ein Querschnitt durch das Literaturschaffen der Gegenwart	0933-7164
AK00007079	Spektrum des Geistes : Literaturkalender; ein Querschnitt durch das Literaturschaffen der Gegenwart	0177-6185
AK00007079	Spektrum des Geistes : Literaturkalender; ein Querschnitt durch das Literaturschaffen der Gegenwart	0085-6584
AK00007080	Bodensee-Hefte : Schweiz, Deutschland, Österreich, Liechtenstein	0006-548X
AK00007081	Die Welt der Bücher : literarische Beihefte zur Herder-Korrespondenz	0043-2490
AK00007083	[Camera / Deutsche Ausgabe] Camera : internat. Zeitschr. für Photographie u. Film ; offiz. Organ d. FIAP	0008-2074
AK00007090	Jahrbuch : [Bibliographie enthalten]	0070-4326
AK00007091	Shakespeare-Jahrbuch : [Bibliographie enthalten]	0080-9128
AK00007091	Shakespeare-Jahrbuch : [Bibliographie enthalten]	0945-5094
AK00007097	[Europäische Hochschulschriften / 22] Europäische Hochschulschriften	0721-3379
AK00007097	[Europäische Hochschulschriften / 22] Europäische Hochschulschriften	0721-3352
AK00007101	Kontraste : eine Illustrierte für junge Erwachsene	0344-5976
AK00007102	Deutsches Soldatenjahrbuch : deutscher Soldatenkalender	0417-3635
AK00007104	Mannschaft : M ; Älteren- u. Führerschrift d. Deutschen Freischar ; Blätter für Jugendbildung	0342-3336
AK00007106	Stichwort : die bündische Themenzeitschrift	0342-3336
AK00007107	Übersetzen	1868-6583
AK00007108	Wandelhalle der Bücherfreunde : Nachrichtenbl. d. Gesellschaft der Bibliophilen	0507-8601
AK00007110	Horizonte : zur Diskussion über Israel u. d. Judentum	0174-2248
AK00007111	Südwestdeutsche Blätter für Familien- und Wappenkunde	0172-1844
AK00007116	Tendenzen : Zeitschrift für engagierte Kunst	0495-0887
AK00007119	Quellen und Forschungen zur hessischen Geschichte	0930-5629
AK00007123	Wirklichkeit und Wahrheit : Vierteljahresschrift für Forschung, Kultur und Bildung	0510-534X
AK00007126	Werk : Schweizer Monatsschrift für Architektur, Kunst und künstlerisches Gewerbe ; offizielles Organ des Bundes Schweizer Architekten, BSA, des Schweizerischen Werkbundes, SWB, des Schweizerischen Kunstvereins, SKV	0043-2768
AK00007131	[Innsbrucker Beiträge zur Kulturwissenschaft / Sonderhefte] Sonderhefte	0537-7269
AK00007138	Politik : Vierteljahresschr. d. Kuratoriums Unteilbares Deutschland	0554-5293
AK00007140	[Frankenland <Würzburg>] Frankenland : Zeitschrift für fränkische Geschichte, Kunst und Kultur	0015-9905
AK00007145	Pardon : Deutschlands führende Satirezeitschrift	0031-1855
AK00007147	Wissenschaftlicher Literaturanzeiger : WLA	0043-6968
AK00007147	Wissenschaftlicher Literaturanzeiger : WLA	0341-8723
AK00007149	Vernissage : Kunst, Kritik, Kontakte	0340-2428
AK00007151	Kunst : das deutsche Kunstmagazin, Berichterstattung für Museen, Sammler, Galerien	0340-1871
AK00007164	[Unsere Heimat <Sankt Pölten>] Unsere Heimat : Zeitschrift für Landeskunde von Niederösterreich	1017-2696
AK00007166	Mitteilungen	0585-3028
AK00007170	[Europäische Hochschulschriften / 1] Europäische Hoschschulschriften	0721-3301
AK00007338	Europäische Hochschulschriften. - Reihe 2, Rechtswissenschaft = Droit = Law	0531-7312
AK00007341	Europäische Hochschulschriften. - Reihe 3, Geschichte und ihre Hilfswissenschaften = Histoire, sciences auxiliaires de l'histoire = History and allied studies	0531-7320
AK00007350	Europäische Hochschulschriften. - Reihe 6, Psychologie = Psychology	0531-7347
AK00007353	[Europäische Hochschulschriften / 11] Europäische Hochschulschriften	0531-7398
AK00007357	Europäische Hochschulschriften. - Reihe 14, Angelsächsische Sprache und Literatur = Language et littératue anglo-saxonnes = Anglo-Saxon language and literature	0721-3387
AK00007362	Europäische Hochschulschriften. - Reihe 18, Vergleichende Literaturwissenschaft = Littérature comparée = Comparative literature	0721-3425
AK00007380	Europäische Hochschulschriften. - Reihe 20, Philosophie = Philosophy = Philosophie	0721-3417
AK00007391	Europäische Hochschulschriften. - Reihe 21, Linguistik	0721-3352
AK00007394	Europäische Hochschulschriften. - Reihe 23, Theologie = Théologie = Theology	0721-3409
AK00007399	Reutlinger Geschichtsblätter	0486-5901
AK00007402	Zeitschrift für die Geschichte der Juden	0044-2593
AK00007407	Beiträge zur evangelischen Theologie : BevT ; theologische Abhandlungen	0170-5415
AK00007416	[Text + Kritik / Sonderband] Text + Kritik : Zeitschrift für Literatur	0040-5329
AK00007416	[Text + Kritik / Sonderband] Text + Kritik : Zeitschrift für Literatur	0935-2929
