id	display	zdb
AK00001959	Edition Passagen	1055350-2
AK00001969	EP	565191-8
AK00001978	[Heyne-Bücher / 12] Heyne-Bücher	188543-1
AK00001998	Reihe Philosophie	847199-x
AK00002001	[Lettere italiane / Biblioteca] Biblioteca di Lettere italiane : rivista trimestrale	222615-7
AK00002048	Diogenes-Taschenbuch	260755-4
AK00002120	Knaur-Taschenbücher	969893-0
AK00002148	[GDR monitor / Special series] GDR monitor	253116-1
AK00002151	ABC-Team : A = Aktuelle Themen ; B = Berichte, Erzählungen, Lebensbilder ; C = Christsein heute	530432-5
AK00002154	Stauffenburg-Colloquium	1130698-1
AK00002161	Akten der ... Jahrestagung der Deutschen Leopardi-Gesellschaft : [Konferenzschrift]	1127179-6
AK00002179	Ausstellungskataloge	979646-0
AK00002186	Studien zur deutschen Literatur des 19. und 20. Jahrhunderts	1192079-8
AK00002199	Internationaler Merve-Diskurs	1061836-3
AK00002216	[Schriften des Fritz-Hüser-Instituts für Deutsche und Ausländische Arbeiter-Literatur der Stadt Dortmund / 2] Schriften des Fritz-Hüser-Instituts für Deutsche und Ausländische Arbeiter-Literatur der Stadt Dortmund	252122-2
AK00002266	Sprache und Theorie in der Blauen Eule	1380472-8
AK00002268	Lager-Schaden	2126826-5
AK00002288	Vechtaer Universitätsschriften : VUS	165920874
AK00002290	Schriften der Schleswig-Holsteinischen Landesbibliothek	1021958-4
AK00002294	Niederdeutsch in Skandinavien : [Konferenzschrift]	635878-0
AK00002310	Esslinger Reihe	2294967-7
AK00002319	Kasseler Universitätsreden	743534-4
AK00002325	Bochumer Schriften zur deutschen Literatur	1067919-4
AK00002376	Münstersche Beiträge zur deutschen und nordischen Philologie	1119068-1
AK00002427	Hamburger Lesehefte	2131933-9
AK00002443	Münchener Studien zur literarischen Kultur in Deutschland	1094478-3
AK00002459	[Fischer Taschenbücher / Collection S. Fischer] Fischer Taschenbücher	562212-8
AK00002525	[Exil <Frankfurt, M.> / Sonderband] Sonderband : Forschung, Erkenntnisse, Ergebnisse	723133-7
AK00002565	Schriftenreihe	1118345-7
AK00002597	Berliner Schriften zur Museumskunde	581235-5
AK00002605	Salto	1129804-2
AK00002674	Hinstorff-Bökerie : niederdeutsche Literatur	1166820-9
AK00002703	Circé : cahiers de recherche sur l'imaginaire	339348-3
AK00002709	Haffmans-Taschenbuch	1034064-6
AK00002726	Mentor-Lernhilfe	1116007-X
AK00002730	Critica diabolis	149838-1
AK00002754	The ... Bithell memorial lecture	435971-9
AK00002790	Reihe historische Anthropologie	1067651-x
AK00002797	Schopenhauer-Studien : Jahrbuch d. Internationalen Schopenhauer-Vereinigung	640244-6
AK00002808	Akademie-Forum : [Konferenzschrift]	233355-7
AK00002838	Kunst und Dokumentation	1121032-1
AK00002843	[Acta Germanica <Frankfurt, M.>] Acta Germanica : German studies in Africa ; Jahrbuch des Germanistenverbandes im südlichen Afrika	73-5
AK00002844	Acta litteraria Academiae Scientiarum Hungaricae	86-3
AK00002845	Acta philologica Scandinavica : tidsskrift for nordisk sprogforskning	99-1
AK00002846	Acta Universitatis Wratislaviensis	109-0
AK00002852	Akzente : Zeitschrift für Literatur	233-1
AK00002853	Alternative : Zeitschrift für Literatur und Diskussion	243-4
AK00002856	[Annales Universitatis Scientiarum Budapestinensis de Rolando Eötvös Nominatae / Sectio philologica] Annales Universitatis Scientiarum Budapestinensis de Rolando Eötvös Nominatae	316-5
AK00002861	Annales Universitatis Scientiarum Budapestinensis de Rolando Eötvös Nominatae. - Sectio philosophica et sociologica	317-7
AK00002862	Antike und Abendland : Beiträge zum Verständnis der Griechen und Römer und ihres Nachlebens	381-5
AK00002863	Das Antiquariat : Halbmonatsschr. für alle Fachgebiete d. Buch- u. Kunstantiquariats	382-7
AK00002864	Kunstgeschichtliche Anzeigen	392-x
AK00002865	Freie Bühne für den Entwickelungskampf der Zeit	410-8
AK00002868	L' Arc : revue trimestrielle	436-4
AK00002869	Deutsches Archiv für Geschichte des Mittelalters	447-9
AK00002872	Archiv für Kulturgeschichte : AKG	471-6
AK00002883	Schweizerisches Archiv für Volkskunde : Vierteljahresschr	503-4
AK00002884	Archiv für Sippenforschung und alle verwandten Gebiete	504-6
AK00002886	Archiv für das Studium der neueren Sprachen und Literaturen	506-x
AK00002887	Archives de philosophie : recherches et documentation ; revue trimestrielle	538-1
AK00002890	[Das Argument <Berlin>] Das Argument : Zeitschrift für Philosophie und Sozialwissenschaften	557-5
AK00002891	Art news	595-2
AK00002892	Art news annual	596-4
AK00002893	The Art quarterly	597-6
AK00002894	Attempto : Nachrichten für die Freunde der Tübinger Universität	642-7
AK00002895	Journal of the Australasian Universities Modern Language Association	647-6
AK00002897	Aurora : Jahrbuch der Eichendorff-Gesellschaft	648-8
AK00002899	[Aussenpolitik / Deutsche Ausgabe] Aussenpolitik : German foreign affairs review	666-x
AK00002901	Aut aut : rivista di filosofia e di cultura	681-6
AK00002902	In Baden-Württemberg : Kultur, Leben, Natur	692-0
AK00002904	Der Bär von Berlin : Jahrbuch des Vereins für die Geschichte Berlins : [Bibliographie enthalten]	693-2
AK00002906	Basis : Jahrbuch für deutsche Gegenwartsliteratur	700-6
AK00002907	Die Begegnung : Autor, Verleger, Buchhändler, Leser ; Jahresgruß d. Buchh. Elwert & Meurer	710-9
AK00002908	Deutsche Beiträge zur geistigen Überlieferung	718-3
AK00002909	Beiträge zur Geschichte der deutschen Sprache und Literatur	729-8
AK00002911	Beiträge zur Geschichte der deutschen Sprache und Literatur	730-4
AK00002912	Beiträge zur romanischen Philologie	747-x
AK00002913	Weimarer Beiträge : Zeitschrift für Literaturwissenschaft, Ästhetik und Kulturwissenschaften	754-7
AK00002921	Bericht	860-6
AK00002924	BZG : Beiträge zur Geschichte der Arbeiterbewegung	873-4
AK00002928	Grabbe-Jahrbuch ... : [Bibliographie enthalten]	888-6
AK00002934	Sächsische Bibliographie : Berichtsjahr ... und Nachträge aus früheren Jahren : [Bibliographie]	1018-2
AK00002935	Bibliothek und Wissenschaft : BuW	1089-3
AK00002936	Der Bibliothekar <Leipzig, 1950-1990> : Zeitschrift für das Bibliothekswesen	1090-x
AK00002938	Bibliotheksdienst	1091-1
AK00002940	Bibliothèque de l'Ecole des Chartes : revue d'érudition	1093-5
AK00002941	[Biblos <Wien>] Biblos : Beiträge zu Buch, Bibliothek und Schrift	1097-2
AK00002942	Blätter für den Deutschlehrer	1132-0
AK00002943	Blätter für württembergische Kirchengeschichte	1137-x
AK00002944	Lyrische Blätter	1141-1
AK00002945	Blätter für deutsche und internationale Politik	1146-0
AK00002946	Blätter der Thomas-Mann-Gesellschaft, Zürich	1148-4
AK00002947	Blätter der Freien Volksbühne Berlin	1149-6
AK00002949	Börsenblatt für den deutschen Buchhandel <Leipzig> : bbb ; Fachzeitschr. für Verlagswesen u. Buchhandel	1158-7
AK00002950	Das historisch-politische Buch : HPB	1216-6
AK00002955	[Buchmarkt <Meerbusch>] Buchmarkt : das Ideenmagazin für den Buchhandel	1221-x
AK00002956	Bürger & Staat	1233-6
AK00002966	Bulletin de littérature ecclésiastique	1305-5
AK00002973	The Burlington magazine	1393-6
AK00002974	Leuvense bijdragen : lb ; tijdschrift voor germaanse filologie	1397-3
AK00002975	Chronik des Wiener Goethe-Vereins	1530-1
AK00002977	Colloquia Germanica : internationale Zeitschrift für Germanistik	1551-9
AK00002978	Critique : revue générale des publications françaises et étrangères ; publication mensuelle	1637-8
AK00002979	Daedalus : journal of the American Academy of Arts and Sciences	1648-2
AK00002981	Deutsches Dante-Jahrbuch	1650-0
AK00002983	Deutschland-Archiv : Zeitschrift für das vereinigte Deutschland	1683-4
AK00002985	Der Deutschunterricht : Beiträge zu seiner Praxis und wissenschaftlichen Grundlegung	1687-1
AK00002988	Internationale Dialog-Zeitschrift	1697-4
AK00002989	Diskus : Frankfurter Student-innenzeitschrift	1729-2
AK00002991	Modern drama	1777-2
AK00002992	Die Drei : Zeitschrift für Anthroposophie in Wissenschaft, Kunst und sozialem Leben	1779-6
AK00002993	Cahiers Charles DuBos	1786-3
AK00002994	Einheit : Zeitschrift für Theorie und Praxis des Wissenschaftlichen Sozialismus	1827-2
AK00002995	Ekkhart : Jahrbuch für das Badner Land ...	1833-8
AK00002996	Encounter : literature, arts, current affairs	1844-2
AK00002997	Ensemble : Lyrik, Prosa, Essay ; internat. Jahrbuch für Literatur	1858-2
AK00002998	Eranos-Jahrbuch	1902-1
AK00002999	Erasmus : speculum scientiarum ; internat. bulletin of contemporary scholarship	1903-3
AK00003000	Esprit : comprendre le monde qui vient	1928-8
AK00003002	Études : revue fondée par des pères de la Compagnie de Jésus	1938-0
AK00003004	Études germaniques : revue trimestrielle de la Société des Études Germaniques	1942-2
AK00003005	Etudes de lettres : bulletin de la Faculté des Lettres de l'Université de Lausanne et de la Société des Etudes de Lettres	1944-6
AK00003007	[Euphorion <Heidelberg>] Euphorion : Zeitschrift für Literaturgeschichte	1949-5
AK00003009	Europa-Archiv : Zeitgeschichte, Zeitkritik, Verwaltung, Wirtschaftsaufbau ; Halbmonatsschr. d. Deutschen Gesellschaft für Auswärtige Politik	1954-9
AK00003010	Europe : revue littéraire mensuelle	1961-6
AK00003011	Jahrbuch der Bibliotheken, Archive und Informationsstellen der Deutschen Demokratischen Republik	1963-x
AK00003013	Rheinsberger Bogen	2749963-7
AK00003014	Fabula	1977-x
AK00003015	Faust-Blätter : Archiv-Nachrichten ; Halbjahresschr. d. Faust-Gesellschaft, Vereinigung zur Förderung der Faust-Forschung und der Faust-Gedenkstätte Knittlingen e.V. (Europäische Studiengemeinschaft)	1988-4
AK00003020	Fontane-Blätter : Halbjahresschrift	2045-x
AK00003021	Forschungen und Berichte	2065-5
AK00003022	[Forum <Wien>] Forvm : kulturelle Freiheit, politische Gleichheit, solidarische Arbeit	2106-4
AK00003023	Forum for modern language studies : the journal of literary, cultural and linguistic studies from the middle ages to the present	2108-8
AK00003024	Gazette des beaux-arts : la doyenne des revues d'art	2148-9
AK00003025	Georgia Augusta : Nachrichten aus der Universität Göttingen ; eine Zeitschrift für Hochschulfragen	2186-6
AK00003026	Wiener Geschichtsblätter	2245-7
AK00003028	Die Neue Gesellschaft	2263-9
AK00003036	Gnomon : kritische Zeitschrift für die gesamte klassische Altertumswissenschaft	2296-2
AK00003037	Goethe : neue Folge d. Jahrbuchs d. Goethe-Gesellschaft	2298-6
AK00003039	Goethe-Almanach : auf d. Jahr ...	2299-8
AK00003040	Grundlagenstudien aus Kybernetik und Geisteswissenschaft : internat. Zeitschr. für Modellierung u. Mathematisierung in d. Humanwissenschaften	2316-4
AK00003041	Gutenberg-Jahrbuch	2327-9
AK00003049	Frankfurter Hefte : Zeitschr. für Kultur u. Politik	2410-7
AK00003050	Neue deutsche Hefte : Beiträge zur europäischen Gegenwart	2413-2
AK00003051	Badische Heimat : mein Heimatland ; Zeitschrift für Landes- und Volkskunde, Natur-, Umwelt- und Denkmalschutz	2417-x
AK00003053	Heine-Jahrbuch	2418-1
AK00003054	Hermathena : a series of papers on literature, science, and philosophy	2426-0
AK00003058	Hochland : Monatsschrift für alle Gebiete d. Wissens, d. Literatur u. Kunst	2446-6
AK00003060	Deutscher Hochschulführer : wissenschaftliche Hochschulen, Kunst- und Musikhochschulen, Fachhochschulen, Verwaltungsfachhochschulen, Berufsakademien	2449-1
AK00003062	Hölderlin-Jahrbuch	2459-4
AK00003064	Hörspiele ...	2461-2
AK00003066	Hofmannsthal-Blätter : Veröffentlichungen der Hugo von Hofmannsthal-Gesellschaft Frankfurt am Main : [Bibliographie enthalten]	2462-4
AK00003071	Humanismus und Technik : Jahrbuch	2476-4
AK00003073	Jahrbuch für Aesthetik und allgemeine Kunstwissenschaft	2489-2
AK00003074	[Jahrbuch / Bayerische Akademie der Wissenschaften] Jahrbuch	2493-4
AK00003076	Jahrbuch / Deutsche Akademie für Sprache und Dichtung	2494-6
AK00003077	Jahrbuch der Deutschen Akademie der Wissenschaften zu Berlin	2495-8
AK00003080	Jahrbuch	2497-1
AK00003081	Jahrbuch ... / Akademie der Wissenschaften und der Literatur Mainz	2499-5
AK00003082	Jahrbuch der Albertus-Universität zu Königsberg, Pr	2500-8
AK00003083	Jahrbuch der Bibliotheken, Archive und Dokumentationsstellen der Deutschen Demokratischen Republik	2511-2
AK00003093	Vergessene Autoren der Moderne	19442-6
AK00003094	Jahrbuch der Droste-Gesellschaft : westfälische Blätter für Dichtung und Geistesgeschichte	2527-6
AK00003099	Jahrbuch der Schlesischen Friedrich-Wilhelms-Universität zu Breslau	2534-3
AK00003100	Jahrbuch für internationale Germanistik	2540-9
AK00003101	Jahrbuch für Geschichte	2541-0
AK00003102	Esslinger Studien : Jahrbuch für Geschichte der oberdeutschen Reichsstädte	2547-1
AK00003103	Warmbronner Schriften	2035763-1
AK00003109	Literaturwissenschaftliches Jahrbuch der Görres-Gesellschaft	2553-7
AK00003111	Jahrbuch des Wiener Goethe-Vereins	2554-9
AK00003113	Jahrbuch der Grillparzer-Gesellschaft : [Bibliographie enthalten]	2557-4
AK00003114	Jahrbuch des Freien Deutschen Hochstifts	2565-3
