id	display	zdb
AK00031853	Zwischen den Zeilen : eine Zeitschrift für Gedichte und ihre Poetik	1132141-6
AK00031855	Jahresbericht	33294-x
AK00031871	Jahrbuch für Antisemitismusforschung	1103187-6
AK00031873	Simmel newsletter	1083747-4
AK00031874	Notizblätter : Mitteilungen der Internationalen Peter-Weiss-Gesellschaft	1048851-0
AK00031877	Aufklärung, Vormärz, Revolution : Jahrbuch der Internationalen Forschungsstelle Demokratische Bewegung in Mitteleuropa 1770 - 1850 an der Universität Innsbruck	625770-7
AK00031880	Doku-Futsu-bungaku-kenkyu¯	339806-7
AK00031882	Mitteilungen des Verlages Allert de Lange	1410137-3
AK00031884	Neue poetische Blätter : Halbmonatsschrift für Dichtkunst und literarische Unterhaltung	1410130-0
AK00031886	Der literarische Salon : LiSa ; eine neue Idee stellt sich vor ; Informationen für Leser, Autoren, Verlage und Sponsoren	1410126-9
AK00031933	ide-extra : eine deutschdidaktische Publikationsreihe	2303429-4
AK00032072	Bibliotheca Bohemica	2198065-2
AK00032105	[Schriften der Stiftung Haus Oberschlesien / Landeskundliche Reihe] Schriften der Stiftung Haus Oberschlesien	1170890-6
AK00032122	[Dokumentationsreihe der Forschungsstelle Osteuropa an der Universität Bremen / Kataloge] Dokumentationsreihe der Forschungsstelle Osteuropa an der Universität Bremen	1178541-X
AK00032125	Bibliographien zur deutschen Literaturgeschichte	1124602-9
AK00032204	"Veröffentlichungen aus dem Forschungsprojekt ""Literatur und Soziologie"""	2291354-3
AK00032260	Veröffentlichungen der Universitätsbibliothek Rostock	716533-x
AK00032280	Schriftenreihe des Museums im Schloß Bad Pyrmont	2246209-0
AK00032293	Arbeitsberichte des germanistischen Instituts der Universität Oslo	89879-x
AK00032296	[Lares / Biblioteca] Biblioteca di Lares : monografie	421666-0
AK00032308	Tauchgeschichtekompendium	2076912-X
AK00032366	[Edition Wissenschaft / Reihe Philosophie] Edition Wissenschaft	2169836-3
AK00032531	Nackenheimer heimatkundliche Schriftenreihe	998293-0
AK00032620	Chimäre	1497430-7
AK00032657	Verbände : Verzeichnis mit Aufgaben und Adressen von Verbänden, Vereinigungen, Einrichtungen des öffentlichen Rechts ; Stand der Erhebungen: .. : Staatshandbuch	1206831-7
AK00032660	Schriften zur Zeit und Geschichte	513326-9
AK00032731	Frühe Frauenliteratur in Deutschland	1132505-7
AK00032735	Collection Tel	1065659-5
AK00032749	Berlinischer Damen-Kalender : auf das Gemein-Jahr ...	538532-5
AK00032759	El Corno emplumado	798563-0
AK00032760	Das Kunsttheater : Zeitschrift für künstlerische Kultur	532693-x
AK00032761	Critisch fundament : literatuuroverzicht	26587-1
AK00032797	Stehplatz : Schweizer Kulturzeitung	915066-3
AK00032798	Künstlerinnen : Künstlerinnen-Rundbrief	1317558-0
AK00032799	Jugend-Gartenlaube : farbig illustrierte Zeitschrift zur Unterhaltung und Belehrung der Jugend	615182-6
AK00032800	Kinder-Gartenlaube : farbig ill. Zeitschr. zur Unterhaltung u. Belehrung d. Jugend im Alter von 7 bis 15 Jahren	151037-x
AK00032805	Sub-Bild : Zeitschrift für poröses Denken	1068797-x
AK00032806	Spolia Berolinensia : Berliner Beiträge zur Mediävistik	2179531-9
AK00032829	Volksbücher der Deutschen Dichter-Gedächtnis-Stiftung	2197617-X
AK00032844	Neue Bremer Beiträge	252640-2
AK00032862	Archiv-Nachrichten	1466004-0
AK00032961	Germanistische Texte und Studien	189380-4
AK00033026	Babel : une collection de livres de poche	2125283-X
AK00033062	Schaffsteins Volksbücher für die Jugend	2456063-7
AK00033098	Kleine Delphin-Kunstbücher	575555-4
AK00033179	Reclam-Klassiker auf CD-ROM : [Lesung]	2288910-3
AK00033210	Neues Deutschland <Berlin> : sozialistische Tageszeitung	126113-7
AK00033211	Das Volk : Tageszeitung der Sozialdemokratischen Partei Deutschlands	749387-3
AK00033212	Deutsche Volkszeitung : DVZ ; Zentralorgan der Kommunistischen Partei Deutschlands	304075-6
AK00033215	[Neues Deutschland <Berlin> / Familienkalender] Neues Deutschland	1392440-0
AK00033226	Jahrbuch der Sächsischen Staatstheater	1310575-9
AK00033232	Tagebuch der Sächsischen Staatstheater	1310560-7
AK00033233	Tagebuch der Sächsischen Landestheater	1310553-x
AK00033234	Tage-Buch der Königlich-Sächsischen Hoftheater	567969-2
AK00033381	Philosophies	1193991-6
AK00033419	[Edition Wissenschaft / Reihe Germanistik] Edition Wissenschaft	2089209-3
AK00033457	Veröffentlichung des Alemannischen Instituts	741612-x
AK00033760	Velhagen und Klasings Sammlung deutscher Ausgaben	1090156-5
AK00033779	Schriftenreihe Literaturwissenschaft	533098-1
AK00033790	Ensslin-Jahresgabe	997765-x
AK00033934	Jahresgabe ... der Württembergischen Bibliotheksgesellschaft	228994-5
AK00033983	Kleist im Spiegel der Presse : KLISP ; Zeitungsausschnittsammlung ... : [Bibliographie]	1387394-5
AK00034018	Berichte und Arbeiten aus der Universitätsbibliothek Gießen	407107-4
AK00034088	Hallische Universitätsreden	514488-7
AK00034105	Augsburger Universitätsreden	246499-8
AK00034230	Sehen und Denken	2138364-9
AK00034566	Oxohyph	2172874-4
AK00034660	Analecta Romanica	502130-3
AK00034903	Arbeiten und Texte zur Slavistik	186197-9
AK00035053	Veröffentlichungen des Museums für Völkerkunde Berlin	1394687-0
AK00035058	Das Kabinett	1394511-7
AK00035079	Veröffentlichungen des Stadtarchivs Schweinfurt	1115379-9
AK00035082	Ser. B, Monografias, Estudos, Ensaios : Publikationen des Zentralinstituts für Lateinamerikastudien der Katholischen Universität Eichstätt	34044-3
AK00035098	Altdeutsche Textbibliothek	514208-8
AK00035287	Kulturhistorische Liebhaberbibliothek	543416-6
AK00035300	Sammlung der besten deutschen prosaischen Schriftsteller und Dichter : Sammlung deutscher Dichter	1002376-8
AK00035384	Die kleine Bücherei	844424-9
AK00035470	Literatura : wissenschaftliche Beiträge zu Literatur und ihren Kontexten	1445751-9
AK00035473	Deutsche Hausbücherei	1187002-3
AK00035499	G, Gesellschaftswissenschaften	538835-1
AK00035516	Eichstätter Materialien : Schriftenreihe der Katholischen Universität Eichstätt	845223-4
AK00035545	... Druck der Dronte-Presse	2288668-0
AK00035560	Aus dem Deutschen Adelsarchiv	573874-x
AK00035570	Schulmagazin 5 bis 10 : Impulse für kreativen Unterricht	1218986-8
AK00035596	Hallesche Beiträge zur europäischen Aufklärung : Schriftenreihe des Interdisziplinären Zentrums für die Erforschung der Europäischen Aufklärung	1414457-8
AK00035630	Letteratura universale Marsilio	2673986-0
AK00035705	Pädagogische Materialien	24721918
AK00035706	[Veröffentlichungen der staatlichen Archive des Landes Nordrhein-Westfalen / C] Reihe C, Quellen und Forschungen	187435-4
AK00035752	Subito : Pendragons plötzliche Reihe	3052945-1
AK00035804	Texte zur Literatur	2497436-5
AK00035812	Deutschsprachige Zeitschriften : Deutschland, Österreich, Schweiz und ausgewählte internationale wissenschaftliche Zeitschriften ; Loseblatt-Werke, Jahrbücher, Periodika auf CD-ROM und online : [Bibliographie]	6020-3
AK00035813	Anschriften deutschsprachiger Zeitschriften	373-6
AK00035906	Freiburger literaturpsychologische Gespräche : Jahrbuch für Literatur und Psychoanalyse : [Konferenzschrift]	342575-7
AK00035910	Reihe Berichte und Dokumentationen	553924-9
AK00035943	Germanistische Beiträge : revista acreditata CNCS	1241055-x
AK00035950	Forschungsberichte zur DDR-Literatur : [Forschungsbericht]	282944-7
AK00035953	Anuar de lingvistic€a şi istorie literar€a	211170-6
AK00035954	Anuar de lingvistic€a şi istorie literar€a. - {A, Lingvistic€a	1108495-9
AK00035956	Anuar de lingvistic€a şi istorie literar€a. - B, Istorie literar€a	1052986-x
AK00035962	Apropos Eichendorff : kleine Beiträge zur klassisch-romantischen Zeit	1361471-x
AK00035963	Archivalische Zeitschrift	201051-3
AK00035967	Archivar : Zeitschrift für Archivwesen	120993-0
AK00035969	Archiv-Nachrichten	1058524-2
AK00035970	Archivum <München> : international review on archives	211679-0
AK00035972	Ariadne-Forum : Bausteine für eine feministische Kultur	1239207-8
AK00035974	Art <Hamburg> : das Kunstmagazin	796185-6
AK00035975	Artic : Texte aus der fröhlichen Wissenschaft	1215510-x
AK00035976	Buch und Buchhandel in Zahlen	1214-2
AK00035979	Cahier Heine	790320-0
AK00035981	Les carnets : revue du Centre de Recherche et de Documentation Ernst Jünger : [Bibliographie enthalten]	1377827-4
AK00035982	Chelsea Hotel : a magazine for the arts	1122448-4
AK00035983	Codices manuscripti : Zeitschrift für Handschriftenkunde	128516-6
AK00035984	Convivium : germanistisches Jahrbuch Polen : [Bibliographie enthalten]	1221798-0
AK00036013	Dokumentation	404775-8
AK00036017	Das kleine Buch	256544-4
AK00036041	Wöchentliches Verzeichnis der erschienenen und der vorbereiteten Neuigkeiten des deutschen Buchhandels	554066-5
AK00036042	Allgemeine Bibliographie für Deutschland : e. wöchentl. Verzeichniss aller neuen Erscheinungen im Felde d. Literatur	554067-7
AK00036054	[Regensburger Skripten zur Literaturwissenschaft. Reihe Edition] Regensburger Skripten zur Literaturwissenschaft	2648802-4
AK00036056	Reference guide	1230921-7
AK00036062	[Veröffentlichungen des Wiener Stadt- und Landesarchivs / B] Veröffentlichungen des Wiener Stadt- und Landesarchivs	1185871-0
AK00036089	Bibliographie fremdsprachiger Germanica	121138-9
AK00036091	Bibliographie der Übersetzungen deutschsprachiger Werke : Verzeichnis der seit 1951 erschienenen u. in d. Deutschen Bücherei vorhandenen Schriften	1024-8
AK00036104	Dialog mit Bibliotheken : Fachzeitschrift über die Deutsche Bibliothek, ihre Aktivitäten, ihr Dienstleistungsangebot	1000018-5
AK00036108	Dimension 2 : a bilingual magazine for contemporary German-language literature in english translation : [Übersetzung deutschspr. Literatur]	1362426-x
AK00036112	Dramenlexikon : Jahrband ...	806392-8
AK00036113	Bühnenwerke	1033861-5
AK00036114	Die Weltdramatik : e. Führer zu 10000 Theaterstücken	1029716-9
AK00036127	Edit : Papier für neue Texte	1160483-9
AK00036131	Einband-Forschung : Informationsblatt des Arbeitskreises für die Erfassung, Erschliessung und Erhaltung Historischer Bucheinbände (AEB)	1403787-7
AK00036134	Der Einzige : Vierteljahresschrift des Max-Stirner-Archivs, Leipzig	1416738-4
AK00036138	Die Fähre : deutsch-polnisches Literatur- und Kulturmagazin : [Übersetzung deutschspr. Literatur]	913355-0
AK00036141	Fischer-Film-Almanach : Filme, Festivals, Tendenzen ; mit TV- und Video-Erstaufführungen	136422-4
AK00036143	Der Fischer-Weltalmanach : Zahlen, Daten, Fakten ; das Original	212860-3
AK00036154	Forum Musikbibliothek : Beiträge und Informationen aus der musikbibliothekarischen Praxis	796318-x
AK00036157	Frankfurter Bibliotheksbriefe : Mitteilungen für die Freunde der Stadt- und Universitätsbibliothek Frankfurt am Main	27656-x
AK00036164	Freiburger FrauenStudien : FFS ; Zeitschrift für interdisziplinäre Frauenforschung	1226695-4
AK00036169	George-Jahrbuch	1329019-8
AK00036171	[Germanistik <Berlin> / Semesterkatalog] Germanistik : dt. Sprach- u. Literaturwiss. : [Bibliographie]	127875-7
AK00036172	Jahreskatalog : deutsche Sprach- u. Literaturwissenschaft : [Bibliographie]	1211729-8
AK00036175	Germanistik : dt. Sprach- u. Literaturwiss.. - Grundkatalog	216757-8
AK00036178	[Germanistik <Tübingen>] Germanistik : internationales Referatenorgan mit bibliographischen Hinweisen : [Bibliographie]	2190-8
AK00036188	[Publications du Centre Universitaire de Luxembourg / Germanistik] Publications du Centre Universitaire de Luxembourg. Germanistik	1022347-2
AK00036195	Jahresgabe	502912-0
AK00036196	Griffel : Magazin für Literatur und Kritik	1304058-3
AK00036199	Halbjahresschrift für südosteuropäische Geschichte, Literatur und Politik	1088122-0
AK00036258	Profile : Magazin des Österreichischen Literaturarchivs	1448183-2
AK00036285	A drei	1133192-6
AK00036293	Pariser historische Studien	503925-3
AK00036327	Heilbronner Kleist-Blätter : das Jahrbuch aus Heilbronn für alle, die etwas (Neues) zu sagen haben	1342435-x
AK00036329	Hellerau-Almanach	1229281-3
AK00036331	Herder-Jahrbuch : [Bibliographie enthalten]	1207234-5
AK00036333	Hestia : Jahrbuch der Klages-Gesellschaft	214309-4
AK00036336	Hirschstraße : Zeitschrift für Literatur	1167518-4
AK00036345	Hybridenland : Editionsbox ; experimentelle Literatur & Kunst & Sprache	1432142-7
AK00036346	Jaarboek Letterkundig Museum	1143373-5
AK00036354	Jahrbuch	1213538-0
AK00036355	Jahrbuch	357513-5
AK00036357	Jahrbuch der Auktionspreise für Bücher und Autographen : Ergebnisse d. Auktionen in Deutschland, Holland, Österreich u. d. Schweiz	502021-9
AK00036358	Jahrbuch der Auktionspreise für Bücher, Handschriften und Autographen : Ergebnisse der Auktionen in Deutschland, Belgien, den Niederlanden, Österreich und der Schweiz	2506-9
AK00036365	Jahrbuch / Forum Vormärz Forschung	1318636-x
AK00036373	[Jahrbuch für internationale Germanistik / B] Jahrbuch für internationale Germanistik	190215-5
AK00036375	[Jahrbuch für internationale Germanistik / C] Reihe C, Forschungsberichte	402849-1
AK00036377	Jahrbuch für Universitätsgeschichte : JUG	1431358-3
AK00036379	Jahrbuch	228232-x
AK00036384	Jahrbuch ... zur Geschichte und Wirkung des Holocaust	1345095-5
AK00036385	Jahrbuch zur Literatur der Weimarer Republik	1309141-4
AK00036390	Jahresbericht	236926-6
AK00036391	Jahresbericht	1151954-x
AK00036394	Jahresbibliographie Massenkommunikation : systematisches Verzeichnis der im Jahre ... innerhalb und außerhalb des Buchhandels veröffentlichten Literatur zu Presse, Rundfunk, Hörfunk, Fernsehen, Film, Tele- und Netzkommunikation und angrenzenden Problemen : [Bibliographie]	8355-0
AK00036395	[Jahrbuch zur Medienstatistik und Kommunikationspolitik / 2] Jahrbuch zur Medienstatistik und Kommunikationspolitik : [Bibliographie]	343536-2
AK00036396	Jahresgabe der Martin-Heidegger-Gesellschaft	2402004-7
AK00036398	Jahresheft	1283365-4
AK00036399	Jahresverzeichnis der schweizerischen Hochschulschriften : [Bibliographie]	2800-9
AK00036400	Jahresverzeichnis der schweizerischen Universitätsschriften : [Bibliographie]	514619-7
AK00036435	Impressum : internationale Zeitschrift für auslandsdeutsche Literatur und Presse	736963-3
AK00036440	In Octavo : bulletin international d'information sur l'histoire du livre et de l'édition	1134667-x
AK00036441	Informationsmittel für Bibliotheken : IFB ; Besprechungsdienst und Berichte	1156171-3
AK00036447	[Informationsmittel für Bibliotheken / Beiheft] Beiheft : IFB	1211110-7
AK00036481	Journal für Druckgeschichte : offizielles Informationsorgan des Internationalen Arbeitskreises Druckgeschichte	626759-2
AK00036484	K.V.P.	1357020-1
AK00036489	Koggebrief : Berichte für Autoren	627878-4
AK00036495	[Kulturchronik / D] Kulturchronik	995099-0
AK00036498	KunstundKultur : kulturpolitische Zeitschrift	1181788-4
AK00036500	GGR-Beiträge zur Germanistik	2071558-4
AK00036514	Kunstpreis-Jahrbuch : deutsche und internationale Auktionsergebnisse	507008-9
AK00036515	Kunstpreis-Verzeichnis : Auktionsergebnisse vom 1.7. ... - 30.6. ..	507016-8
AK00036516	Kursbuch Germanistik : Dozenten, Veranstaltungen, Kommentare, Adressen	1144712-6
AK00036522	Leipziger Buchpreis zur Europäischen Verständigung = Leipzig book award for European understanding	1211902-7
AK00036527	Libellus Guelferbytanus : Informationen zur Buchgeschichte	1100396-0
AK00036531	Entwürfe für Literatur	1326405-9
AK00036532	Entwürfe & Zündschrift	1288276-8
AK00036533	Entwürfe für Literatur und Gesellschaft	33770-5
AK00036538	Literaturblatt : Termine und Texte in der Region	1184364-0
AK00036539	Literaturblatt für Baden und Württemberg	1363732-0
AK00036541	Literaturkorrespondenz : das Magazin der Verlage und Autoren	1352856-7
AK00036542	Literaturpost Südwest	1043176-7
AK00036543	Büroklammer : Informationen, Notizen, Berichte	1111755-2
AK00036560	Ludwig-Pfau-Blätter : LPB	1165881-2
AK00036564	Lyrik unserer Zeit : Lyrik-Neuerwerbungen der Erscheinungsjahre ...	216082-1
AK00036580	M : Menschen machen Medien ; medienpolitische ver.di-Zeitschrift	1177913-5
AK00036598	Zweifäusterdruck	291865-1
AK00036609	Märchenspiegel : Zeitschrift für internationale Märchenforschung und Märchenpflege	1056870-0
AK00036610	Metamorphosen : Magazin für Literatur und Kultur	1182651-4
AK00036611	Metis : Zeitschrift für historische Frauen- und Geschlechterforschung	1116046-9
AK00036612	Mitteilungen der Charles-Sealsfield-Gesellschaft	144356-2
AK00036613	Mitteilungen der Lichtenberg-Gesellschaft	1390486-3
AK00036614	Satire : Mitteilungen der Wilhelm-Busch-Gesellschaft e.V.	1457872-4
AK00036617	Mitteilungen	1137547-4
AK00036618	Mitteilungen der Arbeitsgemeinschaft Literarischer Gesellschaften e.V.	1235122-2
AK00036619	Mitteilungsblatt der Arbeitsgemeinschaft Literarischer Gesellschaften e.V.	1199021-1
AK00036620	Mitteilungsblatt	807975-4
AK00036621	MLA international bibliography of books and articles on the modern languages and literatures : [Bibliographie]	209529-4
AK00036622	MLA American bibliography of books and articles on the modern languages and literatures	209528-2
AK00036626	Moosbrand : neue Texte	1343325-8
AK00036630	Museumsblatt : Mitteilungen aus dem Museumswesen Baden-Württembergs	1027506-x
AK00036633	[Muttersprache / Beihefte] Muttersprache. Beihefte : Zeitschr. zur Pflege u. Erforschung d. deutschen Sprache	161490-3
AK00036636	My way : Magazin für kulturellen Eigensinn	1294953-x
AK00036637	Mythologica : Düsseldorfer Jahrbuch für interdisziplinäre Mythosforschung	1207574-7
AK00036638	Düsseldorfer Mythologica	1202529-x
AK00036656	Neue Pestalozzi-Blätter : Zeitschrift für pädagogische Historiographie	1306163-x
AK00036663	[Oesterreichische Bibliographie <Wien, 1946 - 2002> / C] Oesterreichische Bibliographie : [Bibliographie]	1085752-7
AK00036664	Neuere ausländische Austriaca : Auswahlbibliographie	1093088-7
AK00036666	Orbis linguarum	1290505-7
AK00036667	Reden und Gedenkworte	203726-9
AK00036668	Ort der Augen : Blätter für Literatur aus Sachsen-Anhalt	1222038-3
AK00036669	Osiris : Zeitschrift für Literatur und Kunst	1363371-5
AK00036678	Quarto : Zeitschrift des Schweizerischen Literaturarchivs (SLA)	915509-0
AK00036680	Referatedienst zur Literaturwissenschaft : RD ; Forschungsschwerpunkt Literaturwissenschaft : [Bibliographie]	128511-7
AK00036681	Referatedienst zur germanistischen Literaturwissenschaft : literaturwissenschaftliche Information und Dokumentation : [Bibliographie]	128512-9
AK00036682	Relation : Beiträge zur vergleichenden Kommunikationsforschung	1285339-2
AK00036683	Restaurator : internat. journal for the preservation of library and archival material	128871-4
AK00036684	Rezensöhnchen : Zeitschrift für Literaturkritik	1269438-1
AK00036692	Rundbrief der Deutschen Gesellschaft für die Erforschung des Achtzehnten Jahrhunderts	153970-x
AK00036695	Ruperto Carola : Forschungsmagazin der Universität Heidelberg	1267177-0
AK00036696	Schnabeliana : Beiträge und Dokumente zu Johann Gottfried Schnabels Leben und Werk und zur Literatur und Geschichte des frühen 18. Jahrhunderts	1291002-8
AK00036697	[Schnabeliana] Jahrbuch der Johann-Gottfried-Schnabel-Gesellschaft	1291004-1
AK00036698	Jahresgabe der Charles-Sealsfield-Gesellschaft in Stuttgart	518187-2
AK00036700	Schwarz auf weiß : Zeitschrift des Deutschen Scherenschnittvereins e.V.	1422778-2
AK00036700	Schwarz auf weiß : Zeitschrift des Deutschen Scherenschnittvereins e.V.	2471122-6
AK00036701	Scientia Poetica : Jahrbuch für Geschichte der Literatur und der Wissenschaften : yearbook for the history of literature, humanities and sciences	1363933-x
AK00036702	Script : Halbjahresschrift ; Frau, Literatur, Wissenschaft im alpen-adriatischen Raum	1266896-5
AK00036703	SIBMAS-Brief	27023-4
AK00036704	Sichtungen : Archiv, Bibliothek, Literaturwissenschaft	1454636-x
AK00036759	Zwischen Nähkästchen und Pianoforte : Musikkultur im Wirkungskreis der Frau	1439009-7
AK00036816	Text : kritische Beiträge	1267046-7
AK00036821	Triangel : die Programmübersicht von MDR FIGARO	1357006-7
AK00036822	[Triangel <Leipzig> / Programmübersicht] Programmübersicht : für und aus Thüringen, Sachsen, Sachsen-Anhalt : das Musikjournal	1335870-4
AK00036823	[Triangel <Leipzig> / Programmempfehlungen] Programmempfehlungen : für und aus Thüringen, Sachsen, Sachsen-Anhalt : das Musikjournal	1331960-7
AK00036847	Um : Kunstzeitschrift	1361456-3
AK00036848	Utopie kreativ : Diskussion sozialistischer Alternativen	1074754-0
AK00036849	Literaturpreis : [Dokumentation]	1189356-4
AK00036887	Via regia : Blätter für internationale kulturelle Kommunikation	1173141-2
AK00036890	Waseda-Blätter	1216009-x
AK00036891	Wende-Blätter	1191953-x
AK00036892	Was spielten die Theater? : Werkstatistik ..., Bundesrepublik Deutschland, Österreich, Schweiz	348361-7
AK00036893	Wer spielte was ? : Werkstatistik ... des Deutschen Bühnenvereins, Bundesverband Deutscher Theater ; Deutschland, Österreich, Schweiz	1108002-4
AK00036894	Wer spielte was ? : Bühnenrepertoire der DDR	987269-3
AK00036895	Wir im DRA : Zeitschrift für die Mitarbeiter des Deutschen Rundfunkarchivs Frankfurt am Main und Potsdam	1290102-7
AK00036896	Wissenschaftsjahrbuch : Natur und Wissenschaft, Geisteswissenschaften - Frankfurter Allgemeine	1317355-8
AK00036897	The year's work in modern language studies : ywmls : [Bibliographie]	200480-x
AK00036898	Journal of German American studies	963769-2
AK00036899	German American studies	412925-8
AK00036900	Z : Zeitschrift für Kultur- und Geisteswissenschaften	1234312-2
AK00036901	Zeitungs-Index : Verzeichnis wichtiger Aufsätze aus deutschsprachigen Zeitungen : [Bibliographie]	187394-5
AK00036902	[Zeitungs-Index / Beiheft] Zeitungs-Index : Verzeichnis wichtiger Buchbesprechungen aus deutschsprachigen Zeitungen : [Bibliographie]	130155-x
AK00036903	Zuckmayer-Jahrbuch	1413668-5
AK00036904	Zwiebel : Almanach	125930-1
AK00036905	Das Schwarze Brett : Almanach	501505-4
AK00036906	Das Kleine Rotbuch : Almanach ...	7556-5
AK00036917	FILMtext : Drehbücher klassischer deutscher Filme	3047048-1
AK00036943	Unvergessen, Gedenktage	1221423-1
AK00036945	Von Büchern & Menschen : [Textsammlung (Anthologie u.a.m.)]	153601-1
AK00036949	Bericht über das Sudetendeutsche Wörterbuch : (Arbeitsjahre ...)	553744-7
AK00036951	Der Bumerang : Zeitschrift der Studierenden der Akademie für Graphische Künste und Buchgewerbe Leipzig	919250-5
AK00036952	Forschungsforum : FFB ; Berichte aus der Otto-Friedrich-Universität Bamberg	1015771-2
AK00037033	Studien zur Volksliedforschung	133116-4
AK00037035	Jahresgabe der Internationalen Bach-Gesellschaft, Schaffhausen	519583-4
AK00037038	Weber-Studien : in Verbindung mit der Carl-Maria-von-Weber-Gesamtausgabe	1175318-3
AK00037160	Palmbaum-Texte : Kulturgeschichte	2002410-1
AK00037195	Prinzenstraße : hannoversche Hefte zur Theatergeschichte	1338870-8
AK00037210	Neue Studien zur Philosophie	31432-8
AK00037250	Salzers Volksbücher	846706-7
AK00037364	Vorträge. - G, Geisteswissenschaften	1182332-x
AK00037375	Deutscher Almanach : für das Jahr ...	404415-0
AK00037376	Xenien-Almanach : für das Jahr ...	555162-6
AK00037378	Kalender : [Kalender]	1124304-1
AK00037379	Ostdeutscher Kriegs-Almanach : [Textsammlung (Anthologie u.a.m.)]	9640-4
AK00037381	Mittlers Almanach : ein Jahrbuch für alle Freunde der deutschen Wehrmacht	561653-0
AK00037382	Cotta-Almanach	152170-6
AK00037383	Den Freunden des Verlags F. A. Brockhaus : [Bibliographie enthalten]	344685-2
AK00037384	Den Freunden des Verlages F. A. Brockhaus Wiesbaden	133010-x
AK00037498	Wechselausstellung der Wiener Stadt- und Landesbibliothek	1116177-2
AK00037518	Jahresgabe der Literarischen Gesellschaft (Scheffelbund) Karlsruhe	1125036-7
AK00037538	Furche-Bücherei	597061-1
AK00037665	Who's who : an international publishers' guide to the Frankfurt Book Fair	146077-8
AK00037674	Kataloge der Museumsstiftung Post und Telekommunikation	2068152-5
AK00037681	[Literatur, Kultur, Geschlecht / Große Reihe] Literatur - Kultur - Geschlecht : Studien zur Literatur- und Kulturgeschichte	1447010-x
AK00037923	Biblioteca gardesana di cultura europea	2471653-4
AK00037970	Forum für Fachsprachen-Forschung : FFF	55395-5
AK00038032	Studies on themes and motifs in literature	2191271-3
AK00038057	Colección Visor de poesía	2274465-4
AK00038064	Biblioteca A	2465177-1
AK00038160	DuMont's Fahrradkalender : [Kalender]	1494364-5
AK00038167	Vademekum der Geschichtswissenschaften : VGW ; Verbände, Organisationen, Gesellschaften, Vereine, Institute, Seminare, Lehrstühle, Bibliotheken, Archive, Museen, Dienststellen, Ämter, Verlage und Zeitschriften sowie Historiker in Deutschland, Österreich und der Schweiz	1205607-8
AK00038169	Veröffentlichungen des Deutschen Polen-Instituts Darmstadt	2156148-5
AK00038171	[Theorie und Forschung / Musikwissenschaften] Musikwissenschaften	1460756-6
AK00038207	Loccumer Protokolle	302189-0
AK00038222	Brüder-Grimm-Gedenken	551038-7
AK00038258	Literaturgeschichte in Studien und Quellen	2028273-4
AK00038331	La memoria	2232655-8
AK00038414	Bericht	1064730-2
AK00038590	Weltgeist-Bücher : umfassen den Geist der ganzen Welt	1184642-2
AK00038843	Kleine Reihe V & R : VR	2179537-X
AK00038867	Ullstein-Bücher : eine Sammlung zeitgenössischer Romane	2591030-9
AK00038889	Dreiangeldruck	574264-x
AK00038924	Campus-Forschung	409345-8
AK00038927	Beiträge zur historischen Theologie	502204-6
AK00038948	Texte aus der Bukowina	1459084-0
AK00038952	Mikrokosmos : Beiträge zur Literaturwissenschaft und Bedeutungsforschung	193320-6
AK00038988	Bibliothekspraxis	120077-x
AK00038998	Collection Spemann : deutsche Hand- und Hausbibliothek	1002380-x
AK00039000	Die deutsche Folge : Dichtung der Gegenwart in Schulausgaben	538188-5
AK00039006	Die kleinen Bücher der Arche	251917-3
AK00039060	Schriften der Ernst-Toller-Gesellschaft	2010239-2
AK00039201	Vorträge der ... Jahrestagung des Wolfenbütteler Arbeitskreises für Bibliotheksgeschichte : [Konferenzschrift]	1004200-3
AK00039440	Veröffentlichungen des Zentralinstituts für Kunstgeschichte in München	255790-3
AK00039521	Bibliothek der Gesamt-Litteratur des In- und Auslandes	256353-8
AK00039617	Exil-Studien : eine interdisziplinäre Buchreihe = Exile studies : an interdisciplinary series	2249028-0
AK00039951	Schriften der Universitäts- und Landesbibliothek Münster	1206168-2
AK00039960	[Braunschweiger Werkstücke / A] Braunschweiger Werkstücke	541605-x
AK00039961	Braunschweiger Werkstücke : Veröffentlichungen aus Archiv, Bibliothek und Museum der Stadt	121118-3
AK00040035	Zur Diskussion gestellt	505015-7
AK00040079	Frauen, Gesellschaft, Kritik	1161274-5
AK00040147	Lexikon des internationalen Films : das komplette Angebot im Kino, Fernsehen und auf Video	1010780-0
AK00040148	Handbuch ... der katholischen Filmkritik	132838-4
AK00040170	Bad Emser Hefte	624891-3
AK00040172	Staats- und sozialwissenschaftliche Forschungen	550024-2
AK00040181	Beiträge zur deutschen Literaturwissenschaft	503833-9
AK00040205	ZDF-Schriftenreihe	519514-7
AK00040219	Bausteine zu einer Geschichte des weiblichen Sprachgebrauchs : [Konferenzschrift]	1359296-8
AK00040297	Bibliothek des Literarischen Vereins in Stuttgart	519450-7
AK00040437	Kulturgeschichtliche Spaziergänge im Germanischen Nationalmuseum : Jahresgabe für die Freunde und Förderer des Germanischen Nationalmuseums	1407945-8
AK00040687	Neues Frauenleben : Organ der freiheitlichen Frauen in Österreich	1121103-9
AK00040689	Fliegende Wörter : 53 Qualitätsgedichte zum Verschreiben und Verbleiben für Zeitreisende, Sprachspieler, Kenner und Genießer : Postkartenkalender : [Textsammlung (Anthologie u.a.m.)]	1429329-8
